index,shape,texture,filename
1,triangle,outline,01_triangle_outline.png
2,triangle,hatch,02_triangle_hatch.png
3,triangle,solid,03_triangle_solid.png
4,triangle,dotted,04_triangle_dotted.png
5,circle,outline,05_circle_outline.png
6,circle,hatch,06_circle_hatch.png
7,circle,solid,07_circle_solid.png
8,circle,dotted,08_circle_dotted.png
9,heart,outline,09_heart_outline.png
10,heart,hatch,10_heart_hatch.png
11,heart,solid,11_heart_solid.png
12,heart,dotted,12_heart_dotted.png
13,diamond,outline,13_diamond_outline.png
14,diamond,hatch,14_diamond_hatch.png
15,diamond,solid,15_diamond_solid.png
16,diamond,dotted,16_diamond_dotted.png
17,star,outline,17_star_outline.png
18,star,hatch,18_star_hatch.png
19,star,solid,19_star_solid.png
20,star,dotted,20_star_dotted.png
21,hexagon,outline,21_hexagon_outline.png
22,hexagon,hatch,22_hexagon_hatch.png
23,hexagon,solid,23_hexagon_solid.png
24,hexagon,dotted,24_hexagon_dotted.png
